time=2025-06-22T19:47:41.141+05:30 level=INFO source=/home/piush/Prog/learn/go-bookstore/cmd/server.go:27 msg="Initializing the Server"
time=2025-06-22T19:47:41.141+05:30 level=INFO source=/home/piush/Prog/learn/go-bookstore/cmd/server.go:81 msg="Setting up Middlewares"
{"time":"2025-06-22T19:48:30.026334708+05:30","level":"INFO","source":{"function":"main.NewServer","file":"/home/piush/Prog/learn/go-bookstore/cmd/server.go","line":27},"msg":"Initializing the Server"}
{"time":"2025-06-22T19:48:30.026414077+05:30","level":"INFO","source":{"function":"main.(*Server).SetupMiddlewares","file":"/home/piush/Prog/learn/go-bookstore/cmd/server.go","line":81},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T19:54:06.832304887+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*LoggerInstance).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":15},"msg":"Initializing the Server"}
{"time":"2025-06-22T19:54:06.832381902+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*LoggerInstance).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":16},"msg":"Initializing the Server"}
{"time":"2025-06-22T19:54:06.832395798+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*LoggerInstance).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":15},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T19:54:06.832401599+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*LoggerInstance).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":16},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T19:59:28.805110891+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":90},"msg":"Initializing the Server"}
{"time":"2025-06-22T19:59:28.805188186+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":90},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T20:01:37.950420876+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T20:01:37.950516996+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T20:01:40.310282132+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T20:01:40.310369877+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T20:01:52.254071507+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T20:01:52.254162177+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T20:01:52.258352033+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T20:01:52.259422926+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T20:03:27.756323633+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T20:03:27.756444039+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T20:03:27.757612625+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T20:03:27.758734303+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T20:04:03.601271137+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T20:04:03.601380593+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T20:04:03.602344054+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T20:04:03.603539581+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T20:05:36.363566865+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T20:05:36.363661613+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T20:05:36.367829877+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T20:05:36.369254895+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
